tsne_1,tsne_2
-56.939713,-3.7597837
7.364893,-10.464707
-47.380215,-24.75622
13.65873,10.43926
-44.088448,-6.319017
-38.073547,-5.993442
-51.23845,8.900664
-2.0896964,-25.98083
-51.358055,8.609796
-1.3052315,-2.514232
7.249027,9.056736
22.172104,3.1846335
14.2118,11.542245
45.31488,-22.826616
63.148674,26.39018
58.828957,19.857664
9.946216,5.0941973
4.140094,12.341317
54.71251,-23.58885
63.222656,32.100132
29.870098,-5.8683643
-13.012256,-1.4270047
-70.77758,25.964867
-21.12882,-16.729465
83.62337,13.462449
-47.33737,10.276943
-52.090946,-6.06164
33.683712,-18.394266
23.632057,5.750916
43.78218,-19.946215
-24.264202,-17.060547
-7.52454,-16.639448
-66.36558,18.510849
50.856804,-15.502673
89.71279,-0.20634903
62.325874,1.6353719
-5.040417,-8.363631
59.41871,-11.455456
19.838253,12.792054
47.418144,-24.73446
-30.01905,5.082696
-14.114413,-10.489018
-23.79476,-16.818752
-60.349983,-1.736183
15.377083,18.926132
-3.1814868,0.48430455
89.76653,-0.71221054
-47.79885,18.56472
75.431404,25.962257
-0.028250007,-8.584648
-60.76447,0.7800842
35.28023,-18.152338
3.3670218,26.220486
-60.325375,7.262602
81.85559,15.199676
58.840664,7.347635
-57.079014,-12.179208
-41.85859,-1.6002746
-5.998936,-2.7632756
15.126398,6.3017583
-20.450354,-18.167765
-10.604495,-9.444984
9.290617,11.554131
-27.670696,0.7157271
-52.32136,5.9491754
44.96292,-13.552187
-22.0479,-44.62645
-37.068375,7.3155494
-40.241867,20.50041
3.6484098,-7.853407
-22.606403,-21.818932
-61.671024,0.00016929345
-54.143875,17.644114
-15.21153,-6.794012
-3.358483,16.371632
-15.407255,-7.401604
66.46993,28.914827
-38.002552,-10.297867
-54.45691,-2.099931
85.992714,6.654345
-34.93981,4.582685
-48.31448,-15.57475
30.541996,-1.5419095
-1.1448017,28.099836
-10.392079,-18.594162
57.949234,21.067125
-31.853054,-3.9445982
-62.384064,-9.492364
-56.13822,2.11296
-5.2244062,-10.41124
-3.064661,29.374552
13.599998,7.408474
61.496105,7.0298467
-49.802773,18.767624
33.469337,6.3661385
41.45141,-9.059414
-70.69214,14.586701
-29.233171,-12.269307
-0.29859227,1.8560615
-64.56115,-13.588257
-84.05871,-2.0233667
-33.465054,34.73578
-53.607864,9.513496
-31.105183,-15.437993
-57.02082,13.512895
-38.235443,-12.089341
-19.11003,-28.62793
-66.4986,11.953096
17.957754,13.409865
-2.5202427,-6.481263
-0.49093798,-7.528167
-39.86771,4.571787
59.99793,-16.140936
3.7472315,-8.131411
2.1674423,-17.163576
